YearsExperience,Salary
-1.5100529354239738,-1.360112625252493
-1.4383732074766336,-1.1055274415513854
-1.366693479529293,-1.4199189960082763
-1.1874941596609416,-1.204957387969189
-1.115814431713601,-1.3397814272536288
-0.8649353838979092,-0.7183071614160806
-0.8290955199242389,-0.5881578136423288
-0.7574157919768983,-0.7998174570429145
-0.7574157919768983,-0.42881019428991585
-0.578216472108547,-0.6980130641434916
-0.5065367441612065,-0.47433278542970875
-0.4706968801875362,-0.749768577297535
-0.4706968801875362,-0.7066204326393613
-0.4348570162138661,-0.702019942581224
-0.2914975603191849,-0.5525040156917657
-0.1481381044245037,-0.29921735741029337
-0.0764583764771634,-0.37004264386984087
-0.0047786485298228,0.26285864566049955
0.210260535312199,0.1988598928356072
0.2461003992858691,0.6654757272000537
0.5328193110752313,0.5837799279418434
0.640338902996242,0.826233174150928
0.9270578147856045,0.9386112740388113
1.034577406706615,1.4027413597428127
1.2137767265749662,1.2402030779307238
1.3212963184959772,1.0974023824970947
1.5004956383643286,1.5198683525939343
1.5363355023379988,1.3590738049167845
1.787214550153691,1.7210284904586102
1.8588942781010316,1.7017732135217294
